District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Kodla,799,928,16
H,Mudhol,807,866,7
T,Kalagi,766,1263,65
H,Kalagi,766,1311,71
H,Kodli,774,1193,54
H,Gundgurti,773,1223,58
T,Kamalapura,762,959,26
H,Kamalapur,762,944,24
H,Mahagaon Tanda,772,985,28
H,Narona,770,889,15
H,Ainapur,780,1049,35
T,Yadrami,687,630,-8
H,Yadrami,687,652,-5
H,Ijeri,750,592,-21
T,Shahbadha,758,1036,37
H,Shahabad,758,1020,34
D,BIDAR,838,907,8
T,Aurad,854,984,15
H,Aurad,854,875,2
H,Chintaki,872,1077,23
H,Santpur,874,996,14
T,Bidar,939,917,-2
H,Bidar,939,1017,8
H,Bagadhal,843,935,11
H,Bidar South,935,894,-4
H,Janwada,909,826,-9
H,Kamthana,906,941,4
H,Manalli,890,849,-5
T,Bhalki,874,942,8
H,Bhalki,874,901,3
H,Halburga,875,859,-2
H,Khatak Chincholi,833,823,-1
H,Lakangaon,877,995,13
H,Nittur Buzurg,873,1151,32
H,Saigaon,769,868,13
T,Basavakalyan,790,833,5
H,Basavakalyan,790,805,2
H,Kohinoor,775,829,7
H,Matala,787,816,4
H,Mudabi,779,816,5
H,Rajeshwar,813,882,8
T,Humnabad,834,851,2
H,Humnabad,834,836,0
H,Dubalgundi,822,860,5
H,Hallikheda,827,846,2
T,Chittaguppa,759,842,11
H,Chitguppa,759,853,12
H,Bhimalkhed,838,797,-5
H,Nirna,794,854,8
T,Kamalanagara,902,949,5
H,Kamalnagar,902,806,-11
H,Dabaka C.,877,1009,15
H,Thanakushanur,873,1097,26
T,Hulasuru,739,886,20
H,Hulsoor,739,873,18
D,BELAGAVI,826,983,19
T,Athani,539,515,-4
H,Athani,539,488,-9
H,Anantapur,517,569,10
H,Telsang,507,487,-4
T,Bailhongal,816,1008,23
H,Bailhongal,816,968,19
H,Nesargi,771,1034,34
T,Belagavi,1363,1319,-3
H,Belagavi,1363,1330,-2
H,Hirebagevadi,1041,1180,13
H,Kakti,1131,1193,6
H,Uchagaon,1341,1553,16
T,Chikkodi,666,852,28
H,Chikkodi,666,863,30
H,Nagaramonnali,634,862,36
H,Sadalgi,663,785,18
T,Gokak,524,699,33
H,Gokak,524,766,46
