District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
H,Hole Honnuru_2,800,925,16
H,Kudligere,882,930,5
T,Hosanagara,3071,3104,1
H,Hosanagar,3071,2845,-7
H,Huncha,2490,2911,17
H,Kerehalli,1764,1666,-6
H,Nagar,5205,4267,-18
T,Sagara,2495,2877,15
H,Sagar,2495,1525,-39
H,Anandapuram,1702,1451,-15
H,Baragadde,4040,3880,-4
H,Anahalli,2692,2062,-23
H,Karauru,4154,4557,10
H,Talguppa,2710,2271,-16
T,Shikaripura,975,991,2
H,Shikaripur,975,940,-4
H,Anjanapura,1171,857,-27
H,Husuru,861,955,11
H,Udagani,1037,1099,6
H,Talagunda,1050,1126,7
T,Shivamogga,842,1103,31
H,Shivamogga_2,842,1029,22
H,Shivamogga_1,1150,1048,-9
H,Haranahalli,1037,815,-21
H,Holalur_1,843,939,11
H,Holalur_2,913,901,-1
H,Kumsi,984,1286,31
H,Nidige_1,951,1138,20
H,Nidige_2,1193,1078,-10
H,Ayanuru,1043,1378,32
T,Soraba,1541,1534,0
H,Sorab,1541,1511,-2
H,Anavatti,1261,1059,-16
H,Chandragutti,2332,2050,-12
H,Jade,1478,1293,-12
H,Kuppagadde,1417,1544,9
H,Ulvi,1895,1575,-17
T,Tirthahalli,2867,2689,-6
H,Thirthahalli,2867,3056,7
H,Agrahara,2713,2709,0
H,Agumbe,7565,3695,-51
H,Mandagadde,1690,1738,3
H,Malur,2579,2352,-9
D,HASSAN,1142,1161,2
T,Alur,1149,1149,0
H,Alur,1149,977,-15
H,Kenchamman Hoskota,1814,1418,-22
